#CHANNEL:CH1
#SIZE=4000
Index,Time(s),Volt(V)
396,1.580000e-02,8.000000e-02
397,1.584000e-02,2.800000e-01
398,1.588000e-02,3.200000e-01
399,1.592000e-02,2.800000e-01
400,1.596000e-02,2.800000e-01
401,1.600000e-02,1.200000e-01
402,1.604000e-02,4.000000e-02
403,1.608000e-02,-1.600000e-01
404,1.612000e-02,-2.000000e-01
405,1.616000e-02,-2.400000e-01
406,1.620000e-02,-2.000000e-01
407,1.624000e-02,-1.200000e-01
408,1.628000e-02,4.000000e-02
409,1.632000e-02,1.200000e-01
410,1.636000e-02,2.000000e-01
411,1.640000e-02,3.200000e-01
412,1.644000e-02,2.400000e-01
413,1.648000e-02,2.000000e-01
414,1.652000e-02,4.000000e-02
415,1.656000e-02,-1.200000e-01
416,1.660000e-02,-2.400000e-01
417,1.664000e-02,-4.000000e-01
418,1.668000e-02,-4.000000e-01
419,1.672000e-02,-2.800000e-01
420,1.676000e-02,-1.200000e-01
421,1.680000e-02,1.200000e-01
422,1.684000e-02,3.600000e-01
423,1.688000e-02,4.800000e-01
424,1.692000e-02,5.600000e-01
425,1.696000e-02,4.800000e-01
426,1.700000e-02,2.400000e-01
427,1.704000e-02,0.000000e+00
428,1.708000e-02,-3.200000e-01
429,1.712000e-02,-6.400000e-01
430,1.716000e-02,-6.400000e-01
431,1.720000e-02,-5.600000e-01
432,1.724000e-02,-3.200000e-01
433,1.728000e-02,4.000000e-02
434,1.732000e-02,3.600000e-01
435,1.736000e-02,6.000000e-01
436,1.740000e-02,7.600000e-01
437,1.744000e-02,7.200000e-01
438,1.748000e-02,4.400000e-01
439,1.752000e-02,1.200000e-01
440,1.756000e-02,-2.400000e-01
441,1.760000e-02,-5.200000e-01
442,1.764000e-02,-6.800000e-01
443,1.768000e-02,-6.400000e-01
444,1.772000e-02,-4.800000e-01
445,1.776000e-02,-1.600000e-01
446,1.780000e-02,1.600000e-01
447,1.784000e-02,4.400000e-01
448,1.788000e-02,6.400000e-01
449,1.792000e-02,5.600000e-01
450,1.796000e-02,4.800000e-01
451,1.800000e-02,2.000000e-01
452,1.804000e-02,0.000000e+00
453,1.808000e-02,-2.800000e-01
454,1.812000e-02,-4.400000e-01
455,1.816000e-02,-4.400000e-01
456,1.820000e-02,-3.200000e-01
457,1.824000e-02,-2.000000e-01
458,1.828000e-02,-4.000000e-02
459,1.832000e-02,2.000000e-01
460,1.836000e-02,3.200000e-01
461,1.840000e-02,3.600000e-01
462,1.844000e-02,3.200000e-01
463,1.848000e-02,2.000000e-01
464,1.852000e-02,4.000000e-02
465,1.856000e-02,-8.000000e-02
466,1.860000e-02,-2.000000e-01
